date,yclose-cPOC,yclose_cVAH,yclose_cVAL,yclose_cLVN,cVAH_cPOC,cPOC_cVAL,maxhD5_yclose,yclose_minlD5,close_POC,close_cPOC,close_VAH,close_cVAH,close_VAL,close_cVAL,close_LVN,close_cLVN,dH_maxhD5,dL_minlD5,close_yclose,open_yclose,nextClose_nextOpen,nextClose_close
20170102,62.70571429,-8.734285714,113.7342857,26.98571429,71.44,51.02857143,61.5,117.1,-0.495714286,50.15571429,-5.861428571,-21.28428571,3.081428572,101.1842857,-9.438571428,14.43571429,-57.2,90.1,-12.55,-2.1,22.15,41.4
20170103,44.85285714,-23.38714286,88.72142857,15.60714286,68.24,43.86857143,76.45,94.15,-10.42857143,62.70285714,-17.07142857,-5.537142857,-7.107142857,106.5714286,-12.64285714,33.45714286,-30.85,101,17.85,21.65,50.7,114.7
20170104,11.02428571,2.892857143,43.55,72.01,8.131428571,32.52571429,32.65,109.65,-17.82857143,45.07428571,-48.14857143,36.94285714,-9.165714286,77.6,-30.82285714,106.06,70.2,136.7,34.05,38.05,18.8,91
20170105,100.3342857,86.30714286,128.3885714,81.63142857,14.02714286,28.05428571,14.1,149.55,-7.164285714,110.6842857,-12.58571429,96.65714286,-0.658571429,138.7385714,-10.41714286,91.98142857,24.2,149.9,10.35,17.5,-36.45,22.4
20170106,134.0171429,66.08285714,170.5971429,92.21142857,67.93428571,36.58,2,180.9,32.24,151.6171429,24.37714286,83.68285714,38.13714286,188.1971429,22.41142857,109.8114286,33,147.1,17.6,32.9,31,-4.6
20170109,10.68714286,-26.32428571,134.0585714,84.71,37.01142857,123.3714286,38.55,177.35,-28.14428571,-16.16285714,-44.98714286,-53.17428571,-24.77571429,107.2085714,-19.72285714,57.86,-13,143.95,-26.85,-14.45,-30.9,11.4
20170110,25.91428571,-7.857142857,82.2,70.94285714,33.77142857,56.28571429,22,175,29.45714286,29.41428571,23.11428571,-4.357142857,38.97142857,85.7,13.6,74.44285714,-9,132.5,3.5,-1.1,4,-8.5
20170111,-6.4,-29.2,8.8,39.2,22.8,15.2,54,79,-1.997142857,19,-25.36,-3.8,17.77142857,34.2,-10.98285714,64.6,11.95,82.05,25.4,23,16.5,10.1
20170112,20.82285714,4.042857143,32.80857143,13.63142857,16.78,11.98571429,38.95,44.95,-21.42857143,8.822857143,-26.57142857,-7.957142857,-8.571428571,20.80857143,-12.42857143,1.631428571,-14.95,23.95,-12,-8,-37,-55
20170113,29.32285714,0.557142857,34.11714286,24.52857143,28.76571429,4.794285714,30.45,53.45,-3.388571428,5.822857143,-19.74857143,-22.94285714,45.69142857,10.61714286,29.33142857,1.028571428,-34.95,-32.85,-23.5,-38.5,67.1,-4.4
20170116,-56.34285714,-79.69285714,-46.33571429,-22.98571429,23.35,10.00714286,105.95,10.8,-41.12,-68.14285714,-58.04,-91.49285714,-24.2,-58.13571429,-36.28571429,-34.78571429,-50.95,-18.8,-11.8,-19.5,66,136.2
20170117,-12.86428571,-32.22857143,18.11857143,2.627142857,19.36428571,30.98285714,58.35,77.2,-18.92142857,2.185714286,-23.03571429,-17.17857143,-6.578571429,33.16857143,-41.55,17.67714286,19.05,82.6,15.05,10.8,99.3,178.55
20170118,41.82285714,24.15428571,85.99428571,99.24571429,17.66857143,44.17142857,0.6,154,-22.73571429,56.57285714,-44.75571429,38.90428571,2.43,100.7442857,-32.17285714,113.9957143,118.4,162.9,14.75,17.5,22.5,170.3
20170119,156.8,156.8,234.8,110,0,78,2.2,270.8,-19.58,206.25,-37.51,206.25,-17.95,284.25,-6.54,159.45,91.75,307.7,49.45,45.75,13,4.35
20170120,-8.6,-29.44285714,251.9357143,178.9857143,20.84285714,260.5357143,25.7,339.05,-9.182857143,-34.05,-13.09142857,-54.89285714,-2.668571429,226.4857143,-23.51428571,153.5357143,-16.2,302.95,-25.45,-27.45,-53.95,-61.15
20170123,-2.207142857,-43.89285714,206.2214286,70.74285714,41.68571429,208.4285714,40.15,324.6,12.38571429,-32.25714286,8.754285714,-73.94285714,34.17428571,176.1714286,35.99,40.69285714,-58.35,242.85,-30.05,-18.2,137.75,109.95
20170124,-72.12428571,-112.4314286,56.85857143,113.2885714,40.30714286,128.9828571,112.3,169.85,21.73,-52.97428571,-71.74571429,-93.28142857,38.22571429,76.00857143,-38.75428571,132.4385714,49.3,139,19.15,14.3,1,126
20170125,76.81285714,40.93428571,155.7457143,177.2728571,35.87857143,78.93285714,9.55,241.6,-22.17857143,48.66285714,-28.73571429,12.78428571,6.235714286,127.5957143,-28.73571429,149.1228571,26.35,201,-28.15,-7.9,12.75,47.95
20170127,72.77142857,-39.75428571,104.0285714,91.52571429,112.5257143,31.25714286,42.8,176,-5.525714286,77.77142857,-15.46428571,-34.75428571,1.1,109.0285714,2.204285714,96.52571429,-9.9,170.25,5,13.95,7,79
20170130,99.47142857,-13.05428571,130.7285714,68.21428571,112.5257143,31.25714286,16.1,202.7,-18.96285714,140.0714286,-23.47142857,27.54571429,-12.95142857,171.3285714,3.58,108.8142857,60.6,226.8,40.6,50.3,-10.5,-8.35
20170131,-6.057142857,-22.02285714,185.5314286,169.5657143,15.96571429,191.5885714,19.4,260,2.29,-21.00714286,-2.27,-36.97285714,6.85,170.5814286,14.45,154.6157143,-22.5,203.7,-14.95,-14.55,18.1,3.65
20170201,-31.10714286,-39.09,56.70428571,16.79,7.982857143,87.81142857,44.45,234.95,-8.022857143,-34.80714286,-10.35,-42.79,1.285714286,53.00428571,24.55714286,13.09,-20.45,177.5,-3.7,-4.35,-10.8,19.25
20170202,9.714285714,-25.54,52.80285714,33.21714286,35.25428571,43.08857143,30.7,106.4,52.69,34.06428571,30.53,-1.19,74.85,77.15285714,17.86714286,57.56714286,9.4,35.7,24.35,12.6,-20.9,-19.05
20170203,9.09,-21.39428571,32.8,42.96142857,30.48428571,23.71,38.3,80.25,21.70571429,40.24,15.60857143,9.755714286,26.27857143,63.95,36.94857143,74.11142857,-3.9,61.3,31.15,24.4,-22.25,-22.25
20170206,-9.14,-15.5,19.48,0.4,6.36,28.62,34.8,76.5,16,18.36,9.1,12,39,46.98,45.9,27.9,2.2,33,27.5,27.65,-17.7,-30.2
20170207,19.77142857,-2.928571429,39.22857143,6.8,22.7,19.45714286,31.6,81.9,-2.002857143,13.47142857,-7.02,-9.228571429,4.268571429,32.92857143,14.30285714,0.5,-16,53.6,-6.3,9.6,-76.55,-58.55
20170208,-7.785714286,-17.51428571,18.15714286,8.428571429,9.728571429,25.94285714,39.7,73.8,74.80857143,9.614285714,29.00285714,-0.114285714,91.98571429,35.55714286,46.18,25.82857143,-18.8,-5.5,17.4,19.8,25.55,-38.15
20170209,-66.65,-76.85,-32.65,-36.95,10.2,34,96.45,22.55,-31.41,-59.6,-38.51285714,-69.8,-1.222857143,-25.6,-4.774285714,-29.9,-49.85,7,7.05,10.45,-43.75,69.4
20170210,-30.65,-40.85,3.35,16.95,10.2,34,60.45,58.55,10.58142857,29.35,6.447142857,19.15,27.11857143,63.35,22.98428571,76.95,26.45,73.1,60,84.2,50.2,32.85
20170213,15.88571429,-9.048571429,49.13142857,57.44285714,24.93428571,33.24571429,46.45,99,-49.89571429,5.635714286,-53.97,-19.29857143,-23.41285714,38.88142857,-35.63571429,47.19285714,8.85,83,-10.25,2.2,26.95,91.25
20170214,65.66571429,8.354285714,92.11714286,52.44,57.31142857,26.45142857,2.9,151.4,4.847142857,62.36571429,-10.15857143,5.054285714,8.598571429,88.81714286,-21.41285714,49.14,43.2,131.85,-3.3,1.65,1.15,45
20170215,36.42857143,19.5,121.0714286,138,16.92857143,84.64285714,17.5,180,-6.458571429,44.52857143,-27.27714286,27.6,4.751428571,129.1714286,-17.66857143,146.1,33.1,174.55,8.1,11.95,5.75,24.9
20170216,84.70571429,-11.12285714,103.8714286,116.6485714,95.82857143,19.16571429,37.5,186.1,-14.35428571,94.65571429,-40.38857143,-1.172857143,-6.218571428,113.8214286,-19.23571429,126.5985714,25.3,191.95,9.95,14.15,-20.5,-10.6
20170217,71.58857143,8.914285714,129.04,40.25142857,62.67428571,57.45142857,42.9,139.9,-3.231428571,62.58857143,-12.85142857,-0.085714286,3.64,120.04,-16.97428571,31.25142857,-25.8,108.9,-9,-0.05,-7.4,-16.9
20170220,-26.89,-66.41,42.27,22.51,39.52,69.16,63.45,109.45,5.94,-24.34,-4.92,-63.86,10.59428571,44.82,15.24857143,25.06,-44.45,74.15,2.55,2.05,48,50
